Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
8160,EXAMPLE,900,8,T003629,23,59,10.4,39,18,51,2000,vmag=,14.6,900,900,6,C2,1,in,p1,GB,N090,,N,done,
7140,EXAMPLE,900,7,T004201,6,1,53.9,-13,27,41,2000,vmag=,15.2,900,900,6,C2,1,in,p3,GB,N090,,N,done,
,,,,,,,,,,,,,,,,,,,,,,,,,,
4190,,718,5,WASP156,2,11,7.7,2,25,5,2000,vmag=,11.6,718,1500,60,C2,1,in,p2,DG,U008,,Y,N,25
2770,,434,5,T001173,13,10,43.9,70,46,4,2000,vmag=,11,434,900,60,C2,1,in,p2,DG,U008,,Y,N,25
2615,,403,5,T001174,13,56,52.1,68,37,5,2000,vmag=,11,403,900,60,C2,1,in,p2,DG,U008,,Y,N,25
2730,,426,5,T001180,14,18,13.4,82,11,37,2000,vmag=,11,426,900,60,C2,1,in,p2,DG,U008,,Y,N,25
3565,,593,5,T001244,17,5,7.1,69,31,8,2000,vmag=,11.4,593,1200,60,C2,1,in,p2,DG,U008,,Y,N,25
4335,,747,5,T001246,16,44,27.8,70,25,47,2000,vmag=,11.6,747,1500,60,C2,1,in,p2,DG,U008,,Y,N,25
764,,71,4,135694,15,11,29.3,71,50,27,2000,vmag=,9.1,71,500,60,B5,1,in,p2,DG,U008,,Y,N,25
5155,,911,5,T001248,17,16,5.7,63,6,20,2000,vmag=,11.8,911,2700,60,C2,1,in,p2,DG,U008,,Y,N,25
2870,,454,5,T001249,13,22,14.8,66,18,30,2000,vmag=,11.1,454,1200,60,C2,1,in,p2,DG,U008,,Y,N,25
1325,,145,5,HIP97166,19,44,58.6,74,3,46,2000,vmag=,9.9,145,500,60,B5,1,in,p2,DG,U008,,Y,N,25
4275,,735,5,T001269,16,38,47.2,64,33,33,2000,vmag=,11.6,735,1500,60,C2,1,in,p2,DG,U008,,Y,N,25
1059,,939,1,T001272,13,16,47.1,49,51,39,2000,vmag=,11.9,939,2700,60,C2,1,in,p2,DG,U008,,Y,N,25
1107,,249,3,T001288,20,52,40.1,65,36,31,2000,vmag=,10.4,249,500,60,C2,1,in,p2,DG,U008,,Y,N,25
368,,64,2,191939,20,8,5.5,66,51,3,2000,vmag=,9,64,500,60,B5,1,in,p2,DG,U008,,Y,N,25
985,,77,5,154840,17,4,33.3,56,50,33,2000,vmag=,9.2,77,500,60,B5,1,in,p2,DG,U008,,Y,N,25
2615,,403,5,T001438,18,43,41.7,74,56,16,2000,vmag=,11,403,900,60,C2,1,in,p2,DG,U008,,Y,N,25
2140,,308,5,T001443,19,49,35.7,76,8,21,2000,vmag=,10.7,308,900,60,C2,1,in,p2,DG,U008,,Y,N,25
2575,,395,5,T001444,20,21,54,70,56,37,2000,vmag=,10.9,395,900,60,C2,1,in,p2,DG,U008,,Y,N,25
199,,79,1,12572,2,3,36.9,21,16,50,2000,vmag=,9.2,79,500,60,B5,1,in,p2,DG,U008,,Y,N,25
3355,,551,5,T001472,0,56,27.4,48,38,15,2000,vmag=,11.3,551,1200,60,C2,1,in,p2,DG,U008,,Y,N,25
785,,37,5,207897,21,40,44.8,84,20,1,2000,vmag=,8.4,37,500,60,B5,1,in,p2,DG,U008,,Y,N,25
1615,,203,5,T001669,3,3,49.6,83,35,14,2000,vmag=,10.2,203,500,60,C2,1,in,p2,DG,U008,,Y,N,25
1540,,188,5,T001691,18,9,37,86,51,37,2000,vmag=,10.1,188,500,60,C2,1,in,p2,DG,U008,,Y,N,25
3765,,633,5,T001694,6,30,59.7,66,21,38,2000,vmag=,11.4,633,1500,60,C2,1,in,p2,DG,U008,,Y,N,25
1145,,109,5,T001710,6,17,8.1,76,12,39,2000,vmag=,9.5,109,500,60,B5,1,in,p2,DG,U008,,Y,N,25
1080,,96,5,237566,7,0,20,56,49,27,2000,vmag=,9.4,96,500,60,B5,1,in,p2,DG,U008,,Y,N,25
1205,,121,5,T001723,7,47,11.3,68,28,36,2000,vmag=,9.7,121,500,60,B5,1,in,p2,DG,U008,,Y,N,25
890,,58,5,156141,17,9,18.9,71,52,36,2000,vmag=,8.9,58,500,60,B5,1,in,p2,DG,U008,,Y,N,25
1045,,89,5,146757,16,13,57.3,63,31,60,2000,vmag=,9.3,89,500,60,B5,1,in,p2,DG,U008,,Y,N,25
5090,,898,5,T001753,16,49,52.8,61,10,24,2000,vmag=,11.8,898,1800,60,C2,1,in,p2,DG,U008,,Y,N,25
2320,,344,5,T001758,23,38,58,75,41,6,2000,vmag=,10.8,344,900,60,C2,1,in,p2,DG,U008,,Y,N,25
5525,,985,5,T001759,21,47,24.4,62,45,13,2000,vmag=,11.9,985,2700,60,C2,1,in,p2,DG,U008,,Y,N,25
4405,,761,5,T001775,10,0,27.6,39,27,28,2000,vmag=,11.6,761,1800,60,C2,1,in,p2,DG,U008,,Y,N,25
1715,,223,5,T001794,13,33,35.4,49,3,39,2000,vmag=,10.3,223,500,60,C2,1,in,p2,DG,U008,,Y,N,25
990,,78,5,93963,10,51,6.4,25,38,28,2000,vmag=,9.2,78,500,60,B5,1,in,p2,DG,U008,,Y,N,25
2230,,326,5,TIC142381532,13,4,52.7,63,45,11,2000,vmag=,10.7,326,900,60,C2,1,in,p2,DG,U008,,Y,N,25
1240,,128,5,T001824,13,10,55.5,61,44,41,2000,vmag=,9.7,128,500,60,B5,1,in,p2,DG,U008,,Y,N,25
