Starname,ra,dec,pm_ra,pm_dec,vmag,mv,bvcolor,prlax,url_slug,epoch,id,program_id,star_id,id,name,abstract
10002,1.6190632,-29.393263,0.28589,-0.07012,8.13,5.495244025,0.86,0.02972,10002,2000,4979602,12,10002,12,Legacy,California Legacy Survey Sample
10008,1.6265184,-6.7604236,0.17099,-0.09773,7.66,5.794267073,0.797,0.04235,10008,2000,4979603,12,10008,12,Legacy,California Legacy Survey Sample
100180,11.529151,14.364505,-0.32788,-0.18871,6.2,4.388449096,0.57,0.04342,100180,2000,4979604,12,100180,12,Legacy,California Legacy Survey Sample
100623,11.574858,-32.83134,-0.67099,0.82389,5.98,6.082635061,0.81,0.10484,100623,2000,4979605,12,100623,12,Legacy,California Legacy Survey Sample
101259,11.650123,-24.721093,0.03075,-0.24023,6.42,2.420201133,0.82,0.0158504,101259,2000,4979607,12,101259,12,Legacy,California Legacy Survey Sample
10145,1.6938137,66.909946,0.69203,-0.2646,7.7,4.87922183,0.66,0.02728,10145,2000,4979608,12,10145,12,Legacy,California Legacy Survey Sample
102158,11.758474,47.666879,-0.59149,-0.2913,8.03,4.443110564,0.63,0.01917,102158,2000,4979609,12,102158,12,Legacy,California Legacy Survey Sample
103432,11.908908,19.411233,-0.45028,-0.01427,8.22,5.377622921,0.71,0.02701,103432,2000,4979611,12,103432,12,Legacy,California Legacy Survey Sample
103829,11.95867,53.554191,0.0444,-0.01122,9.22,4.468028063,0.66,0.01121,103829,2000,4979613,12,103829,12,Legacy,California Legacy Survey Sample
103932,11.965613,-27.707043,-1.07956,-0.61991,6.97,6.929672749,1.16,0.09816,103932,2000,4979614,12,103932,12,Legacy,California Legacy Survey Sample
104067,11.986114,-20.35378,0.14316,-0.42332,7.93,6.338014994,0.99,0.04804,104067,2000,4979615,12,104067,12,Legacy,California Legacy Survey Sample
104304,12.012348,-10.446014,0.14198,-0.48334,5.54,4.98594806,0.78,0.07748,104304,2000,4979616,12,104304,12,Legacy,California Legacy Survey Sample
10436,1.7279792,63.823401,-0.39418,-0.5818,8.41,7.76932351,1.22,0.07445,10436,2000,4979617,12,10436,12,Legacy,California Legacy Survey Sample
104556,12.041366,43.084081,-0.34701,-0.51146,6.64,2.922386031,0.86,0.01805,104556,2000,4979619,12,104556,12,Legacy,California Legacy Survey Sample
10476,1.7082672,20.268504,-0.30214,-0.67746,5.2,5.83406505,0.84,0.13391,10476,2000,4979620,12,10476,12,Legacy,California Legacy Survey Sample
104800,12.068211,3.3407528,0.05876,-0.57548,9.22,5.236524581,0.58,0.01597,104800,2000,4979621,12,104800,12,Legacy,California Legacy Survey Sample
105113,12.101443,-32.961231,-0.07755,-0.19427,6.6,3.047944763,0.6,0.01948,105113,2000,4979622,12,105113,12,Legacy,California Legacy Survey Sample
105618,12.160172,11.211576,-0.10484,-0.00264,8.64,4.517559067,0.66,0.01498,105618,2000,4979623,12,105618,12,Legacy,California Legacy Survey Sample
105631,12.160349,40.252055,-0.31402,-0.05134,7.47,5.537623514,0.79,0.04107,105631,2000,4979624,12,105631,12,Legacy,California Legacy Survey Sample
106116,12.208012,-3.0844722,-0.60765,0.41957,7.5,4.84911008,0.65,0.0295,106116,2000,4979625,12,106116,12,Legacy,California Legacy Survey Sample
106156,12.215981,10.037716,0.2096,-0.3579,7.92,5.466012612,0.79,0.0323,106156,2000,4979626,12,106156,12,Legacy,California Legacy Survey Sample
10697,1.7488402,20.083149,-0.04505,-0.10539,6.292,3.728399082,0.665,0.03071,10697,2000,4979627,12,10697,12,Legacy,California Legacy Survey Sample
10700,1.7344675,-15.93748,-1.72194,0.85417,3.5,5.69009966,0.72,0.27417,10700,2000,4979628,12,10700,12,Legacy,California Legacy Survey Sample
107148,12.320414,-3.3197894,-0.05451,-0.04766,8.02,4.471286347,0.66,0.01951,107148,2000,4979630,12,107148,12,Legacy,California Legacy Survey Sample
10790,1.8323818,76.992311,0.10113,0.03822,8.07,5.075278629,0.856,0.02518,10790,2000,4979631,12,10790,12,Legacy,California Legacy Survey Sample
10853,1.777422,12.411772,0.03327,-0.07554,8.91,7.095947111,1.044,0.04337,10853,2000,4979632,12,10853,12,Legacy,California Legacy Survey Sample
108874,12.507467,22.879829,0.12916,-0.0894,8.76,4.580276459,0.71,0.01459,108874,2000,4979633,12,108874,12,Legacy,California Legacy Survey Sample
109358,12.562374,41.35748,-0.70506,0.29291,4.26,4.646112552,0.59,0.11946,109358,2000,4979634,12,109358,12,Legacy,California Legacy Survey Sample
11020,1.7939948,-26.750023,-0.08176,-0.27517,8.98,6.037256711,0.8,0.02579,11020,2000,4979636,12,11020,12,Legacy,California Legacy Survey Sample
110315,12.685133,15.376664,0.11877,-0.37247,7.95,7.17362814,1.14,0.06994,110315,2000,4979637,12,110315,12,Legacy,California Legacy Survey Sample
110537,12.716479,-4.0493303,-0.21944,-0.1797,7.8,4.463202052,0.599999,0.02151,110537,2000,4979639,12,110537,12,Legacy,California Legacy Survey Sample
110897,12.749835,39.278916,-0.35972,0.1393,5.95,4.749751165,0.55,0.0575374,110897,2000,4979640,12,110897,12,Legacy,California Legacy Survey Sample
111031,12.775234,-11.812441,-0.28242,0.05514,6.87,4.448707083,0.7,0.03279,111031,2000,4979641,12,111031,12,Legacy,California Legacy Survey Sample
111484A,12.826339,3.8182144,-0.07738,-0.0025,8.8,4.453276745,0.7,0.01351,111484a,2000,4979642,12,111484A,12,Legacy,California Legacy Survey Sample
111484B,12.826339,3.8182194,-0.0798,-0.0021,8.9,4.553276745,0.700001,0.01351,111484b,2000,4979643,12,111484B,12,Legacy,California Legacy Survey Sample
111515,12.829119,1.1880378,-0.08011,-0.64435,8.1,5.494274838,0.759999,0.03012,111515,2000,4979644,12,111515,12,Legacy,California Legacy Survey Sample
111631,12.845435,-0.76813167,-0.02877,-0.39785,8.48,8.316569591,1.42,0.09275,111631,2000,4979645,12,111631,12,Legacy,California Legacy Survey Sample
112257,12.918962,27.766359,-0.01051,-0.07295,7.8,4.686531255,0.65,0.02384,112257,2000,4979646,12,112257,12,Legacy,California Legacy Survey Sample
112914,12.992439,41.986763,-0.23587,0.18175,8.6,6.68290265,0.94,0.04136,112914,2000,4979647,12,112914,12,Legacy,California Legacy Survey Sample
114174,13.147506,5.2072411,0.08452,-0.66995,6.8,4.702914384,0.67,0.03807,114174,2000,4979648,12,114174,12,Legacy,California Legacy Survey Sample
114613,13.200885,-37.803022,-0.38244,0.04702,4.85,3.293433621,0.693,0.04883,114613,2000,4979649,12,114613,12,Legacy,California Legacy Survey Sample
114729,13.212294,-31.873349,-0.20211,-0.30849,6.69,3.969551202,0.62,0.02857,114729,2000,4979650,12,114729,12,Legacy,California Legacy Survey Sample
114762,13.205472,17.517111,-0.58269,-0.00198,7.3,4.259084618,0.525,0.02465,114762,2000,4979651,12,114762,12,Legacy,California Legacy Survey Sample
114783,13.212163,-2.2650397,-0.13813,0.00962,7.57,6.018763481,0.909999,0.04895,114783,2000,4979652,12,114783,12,Legacy,California Legacy Survey Sample
114946,13.23636,-19.930947,-0.12023,0.15967,5.33,2.395660252,0.87,0.02589,114946,2000,4979653,12,114946,12,Legacy,California Legacy Survey Sample
115404A,13.280848,17.017182,0.6312,-0.26084,6.52,6.268657262,0.94,0.08907,115404a,2000,4979655,12,115404A,12,Legacy,California Legacy Survey Sample
115589,13.30376,-14.582096,-0.22511,-0.16439,9.8,5.677559067,0.9,0.01498,115589,2000,4979656,12,115589,12,Legacy,California Legacy Survey Sample
116321,13.386084,-24.734138,-0.11599,0.00286,7.81,2.867852218,0.531,0.01027,116321,2000,4979657,12,116321,12,Legacy,California Legacy Survey Sample
116442,13.39421,2.723325,0.0134,0.19861,7.06,6.036270913,0.77,0.06241,116442,2000,4979658,12,116442,12,Legacy,California Legacy Survey Sample
116443,13.394679,2.7252783,0.00458,0.20285,7.36,6.234773445,0.82,0.05956,116443,2000,4979659,12,116443,12,Legacy,California Legacy Survey Sample
116956,13.429314,56.970493,-0.2174,0.01121,7.29,5.592430079,0.804,0.04576,116956,2000,4979660,12,116956,12,Legacy,California Legacy Survey Sample
117176,13.473836,13.778787,-0.23481,-0.57619,5,3.724842741,0.71,0.0555864,117176,2000,4979661,12,117176,12,Legacy,California Legacy Survey Sample
117207,13.489198,-35.570997,-0.20499,-0.07173,7.26,4.666496367,0.724,0.03029,117207,2000,4979662,12,117207,12,Legacy,California Legacy Survey Sample
