Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
8160,,900,8,T003629,23,59,10.4,39,18,51.3,2000,vmag=,14.6,900,900,6,C2,1,in,p1,GB,N090,,Y,,
7140,,900,7,T004201,6,1,53.9,-13,27,40.9,2000,vmag=,15.2,900,900,6,C2,1,in,p3,GB,N090,,Y,,
1020,,900,1,T004201,6,1,53.9,-13,27,40.9,2000,vmag=,15.2,900,900,6,C2,1,out,p3,GB,N090,,N,done,
7140,,900,7,T005344,4,13,3.9,20,54,54.6,2000,vmag=,15.4,900,900,6,C2,1,in,p2,GB,N090,,Y,,
1020,,900,1,T005344,4,13,3.9,20,54,54.6,2000,vmag=,15.4,900,900,6,C2,1,out,p2,GB,N090,,N,done,
10396,,332,23,235088,20,2,27.4,53,22,37,2000,vmag=,9.2,332,500,250,B5,1,in,p1,TK SC3,U084,Nightly until end of Oct,Y,,
1640,,1520,1,K01801,19,13,53.2,40,16,11.3,2000,vmag=,14.7,1520,1800,10,C2,1,out,p1,LB,C245,Single-shot,N,done,
1640,,1520,1,K04169,19,47,41.7,43,33,59.3,2000,vmag=,14.7,1520,1800,10,C2,1,out,p1,LB,C245,Single-shot,N,done,
1790,,1670,1,K03933,19,28,33,48,55,1.8,2000,vmag=,14.8,1670,1800,10,C2,1,out,p1,LB,C245,Single-shot,N,done,
1390,,1270,1,K03935,19,47,36.7,41,11,53.3,2000,vmag=,15.3,1270,1570,5,C2,1,out,p1,LB,C245,Single-shot,N,done,
1420,,1300,1,K03274,19,33,47.1,40,24,35.6,2000,vmag=,15.3,1300,1600,5,C2,1,out,p1,LB,C245,Single-shot,N,done,
1500,,1380,1,K04194,19,51,48.7,40,48,24.4,2000,vmag=,15.4,1380,1680,5,C2,1,out,p1,LB,C245,"Single-shot. KOI-4194, crowded and faint. Avoid equal-brightness nbhr 6"" East of target",N,done,
140,,20,1,TIC422838133,1,35,19.1,72,56,12,2000,vmag=,10,20,900,10,C2,1,out,p1,EL,Y220,,N,done,
144,,24,1,BD+471622B,8,55,16.4,46,56,12.4,2000,vmag=,10.2,24,900,10,C2,1,out,p1,EL,Y220,,,,
136,,16,1,TYC3428-1483-1,9,16,59.4,47,45,23.9,2000,vmag=,9.8,16,900,10,B5,1,out,p1,EL,Y220,,,,
135,,15,1,66068,8,4,36,53,40,42.6,2000,vmag=,7,15,600,10,B5,1,out,p1,EL,Y220,,,,
158,,38,1,TYC3799-327-1,8,15,3.3,55,0,4.3,2000,vmag=,10.7,38,900,10,C2,1,out,p1,EL,Y220,,,,
152,,32,1,TYC3808-1772-1,9,10,20.4,57,29,18.6,2000,vmag=,10.6,32,900,10,C2,1,out,p1,EL,Y220,,,,
135,,15,1,78364,9,10,25.3,59,15,16.8,2000,vmag=,8.2,15,600,10,B5,1,out,p1,EL,Y220,,,,
151,,31,1,BD+601154,8,48,19.2,59,30,40.9,2000,vmag=,10.5,31,900,10,C2,1,out,p1,EL,Y220,,,,
152,,32,1,TYC4131-565-1,9,5,4.5,64,54,19.9,2000,vmag=,10.5,32,900,10,C2,1,out,p1,EL,Y220,,,,
149,,29,1,TYC3818-445-1,10,14,9.6,56,48,23.7,2000,vmag=,10.4,29,900,10,C2,1,out,p1,EL,Y220,,,,
159,,39,1,TYC3821-633-1,10,17,54.9,59,41,35.1,2000,vmag=,10.8,39,900,10,C2,1,out,p1,EL,Y220,,,,
151,,31,1,TYC4136-1717-1,9,37,44.4,60,18,17.3,2000,vmag=,10.5,31,900,10,C2,1,out,p1,EL,Y220,,,,
156,,36,1,TYC4138-1359-1,9,30,32.6,64,13,6.6,2000,vmag=,10.7,36,900,10,C2,1,out,p1,EL,Y220,,,,
141,,21,1,TYC1773-97-1,2,20,15.1,27,51,37.7,2000,vmag=,10.1,21,900,10,C2,1,out,p1,EL,Y220,,N,done,
138,,18,1,TYC4383-1286-1,9,44,45.2,69,20,54.7,2000,vmag=,9.9,18,900,10,B5,1,out,p1,EL,Y220,,,,
131,,11,1,BD+27344,2,13,34.6,27,56,39.7,2000,vmag=,9.4,11,600,10,B5,1,out,p1,EL,Y220,,N,done,
133,,13,1,BD+71538,10,26,21.9,70,36,48.4,2000,vmag=,9.6,13,600,10,B5,1,out,p1,EL,Y220,,,,
134,,14,1,BD+67558,8,46,54,66,30,25.2,2000,vmag=,9.7,14,600,10,B5,1,out,p1,EL,Y220,,,,
139,,19,1,TYC1782-252-1,2,56,35.2,23,2,5.8,2000,vmag=,10,19,900,10,B5,1,out,p1,EL,Y220,,N,done,
140,,20,1,TYC4382-1240-1,9,12,59,72,33,57.5,2000,vmag=,10,20,900,10,C2,1,out,p1,EL,Y220,,,,
144,,24,1,TYC4541-1452-1,9,32,23.1,76,41,13.7,2000,vmag=,10.2,24,900,10,C2,1,out,p1,EL,Y220,,,,
152,,32,1,TYC4544-61-1,9,36,11.7,79,38,46.8,2000,vmag=,10.6,32,900,10,C2,1,out,p1,EL,Y220,,,,
135,,15,1,65300,8,6,35.8,77,6,0.5,2000,vmag=,8.8,15,600,10,B5,1,out,p1,EL,Y220,,,,
149,,29,1,BD+81206,6,14,25.4,81,42,33.3,2000,vmag=,10.4,29,900,10,C2,1,out,p1,EL,Y220,,,,
145,,25,1,TYC4544-1102-1,9,9,38.5,78,54,50.6,2000,vmag=,10.3,25,900,10,C2,1,out,p1,EL,Y220,,,,
