Date,TelNr,Instrument,Account,PI,Institution,ProjCode,start,stop
2022-08-07,1.0,HIRESr,hires1,Samuel Yee,NASA,N083,0.5,1
2022-08-08,1.0,HIRESr,hires1,Courtney Dressing,UCB,U066,0,0.25
2022-08-08,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.25,0.5
2022-08-09,1.0,HIRESr,hires1,Courtney Dressing,UCB,U066,0.5,0.75
2022-08-09,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.75,1.0
2022-08-10,1.0,HIRESr,hires1,Casey Brinkman,UH,H268,0.5,1.0
2022-08-14,1.0,HIRESr,hires1,Luke Bouma,CIT,C245,0,0.5
2022-08-17,1.0,HIRESr,hires1,Samuel Yee,NASA,N083,0,0.5
2022-08-20,1.0,HIRESr,hires1,Courtney Dressing,UCB,U066,0,0.25
2022-08-20,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.25,0.5
2022-08-30,1.0,HIRESr,hires1,Natalie Batalha,UCSC,U084,0.25,0.5
2022-08-30,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.5,1.0
2022-08-31,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.5,1.0
2022-08-31,1.0,HIRESr,hires1,Natalie Batalha,UCSC,U084,0.25,0.5
2022-09-01,1.0,HIRESr,hires1,Natalie Batalha,UCSC,U084,0.25,0.5
2022-09-01,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.5,1.0
2022-09-03,1.0,HIRESr,hires1,Andrew Howard,CIT,C342,0.,1.0
2022-09-05,1.0,HIRESr,hires1,Courtney Dressing,UCB,U066,0.,0.25
2022-09-05,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.25,0.5
2022-09-06,1.0,HIRESr,hires1,Casey Brinkman,UH,H268,0,0.5
2022-09-10,1.0,HIRESr,hires1,Emma Louden,Yale(CIT),Y220,0,1
2022-09-11,1.0,HIRESr,hires1,Emma Louden,Yale(CIT),Y220,0,1
2022-09-12,1.0,HIRESr,hires1,Courtney Dressing,UCB,U066,0,0.25
2022-09-12,1.0,HIRESr,hires1,Natalie Batalha,UCSC,U084,0.25,.5
2022-09-15,1.0,HIRESr,hires1,Luke Bouma,CIT,C245,0,0.5
2022-09-17,1.0,HIRESr,hires1,Nicholas Saunders,UH,H267,0,1
2022-10-04,1.0,HIRESr,hires1,Jingwen Zhang,UH,H252,0,0.5
2022-10-05,1.0,HIRESr,hires1,Jingwen Zhang,UH,H252,0,0.5
2022-10-07,1.0,HIRESr,hires1,Nicholas Saunders,UH,H267,0,1
2022-10-13,1.0,HIRESr,hires1,Luke Bouma,CIT,C245,0,0.25
2022-10-13,1.0,HIRESr,hires1,Courtney Dressing,UCB,U066,0.25,0.5
2022-10-16,1.0,HIRESr,hires1,Jon Zink,CIT,C269,0,0.5
2022-10-17,1.0,HIRESr,hires1,Gaspar Bakos,NASA,N090,0.5,1
2022-11-11,1.0,HIRESr,hires1,Courtney Dressing,UCB,U089,0.5,0.75
2022-11-11,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.75,1.0
2022-11-12,1.0,HIRESr,hires1,Courtney Dressing,UCB,U089,0.5,1.0
2022-12-03,1.0,HIRESr,hires1,Jon Zink,CIT,C269,0,0.5
2022-12-05,1.0,HIRESr,hires1,Daniel Hey,UH,H250,0,0.5
2022-12-06,1.0,HIRESr,hires1,Nicholas Saunders,UH,H266,0,0.5
2022-12-07,1.0,HIRESr,hires1,Luke Bouma,CIT,C245,0,0.25
2022-12-08,1.0,HIRESr,hires1,Daniel Huber,UH,H249,0.5,1.0
2022-12-13,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.5,1.0
2022-12-14,1.0,HIRESr,hires1,Jon Zink,CIT,C269,0.5,1.0
2022-12-15,1.0,HIRESr,hires1,Nicholas Saunders,UH,H266,0.25,0.75
2022-12-15,1.0,HIRESr,hires1,Erik Petigura,UCLA,U062,0.75,1.0
2022-12-16,1.0,HIRESr,hires1,Daniel Hey,UH,H250,0.5,1.0
2022-12-29,1.0,HIRESr,hires1,Gaspar Bakos,NASA,N090,0.5,1.0
2022-12-30,1.0,HIRESr,hires1,Daniel Huber,UH,H249,0.5,1.0
2022-12-31,1.0,HIRESr,hires1,Samuel Yee,NASA,N083,0.5,1.0
2023-01-02,1.0,HIRESr,hires1,Luke Bouma,CIT,C245,0.,0.25
2023-01-13,1.0,HIRESr,hires1,Jon Zink,CIT,C269,0,0.5
