,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2021-06-01,2021-06-01,2459366.763874349,2459366.7432498303,2459366.723261765,2459367.096854146,2459367.1174807833,2459367.137470486
2021-06-02,2021-06-02,2459367.7642213455,2459367.7435634974,2459367.7235483048,2459368.096730284,2459368.1173907397,2459368.137407091
2021-06-03,2021-06-03,2459368.7645618743,2459368.743872184,2459368.7238310524,2459369.0966218836,2459369.1173144076,2459369.13735656
2021-06-04,2021-06-04,2459369.764895513,2459369.7441755133,2459369.72410967,2459370.096528938,2459370.1172520537,2459370.137318804
2021-06-05,2021-06-05,2459370.7652218374,2459370.744473103,2459370.724383809,2459371.096451419,2459371.117203606,2459371.137293713
2021-06-06,2021-06-06,2459371.7655404196,2459371.744764565,2459371.724653116,2459372.096389277,2459372.117168971,2459372.137281161
2021-06-07,2021-06-07,2459372.7658508294,2459372.7450495088,2459372.7249172307,2459373.0963424416,2459373.117148038,2459373.1372810034
2021-06-08,2021-06-08,2459373.76615264,2459373.74532754,2459373.725175789,2459374.096310825,2459374.117140679,2459374.137293081
2021-06-09,2021-06-09,2459374.7664454253,2459374.7455982664,2459374.7254284252,2459375.096294319,2459375.117146748,2459375.137317217
2021-06-10,2021-06-10,2459375.766728762,2459375.7458612933,2459375.7256747703,2459376.0962927947,2459376.117166082,2459376.137353221
2021-06-11,2021-06-11,2459376.7670022305,2459376.7461162275,2459376.7259144536,2459377.096306109,2459377.117198502,2459377.137400888
2021-06-12,2021-06-12,2459377.7672654167,2459377.746362679,2459377.726147107,2459378.0963341007,2459378.1172438166,2459378.1374600013
2021-06-13,2021-06-13,2459378.767517915,2459378.7466002638,2459378.7263723626,2459379.0963765937,2459379.11730182,2459379.137530332
2021-06-14,2021-06-14,2459379.767759329,2459379.7468286026,2459379.7265898585,2459380.096433399,2459380.117372295,2459380.1376114115
2021-06-15,2021-06-15,2459380.767989274,2459380.747047326,2459380.7267992394,2459381.0965043143,2459381.117454958,2459381.137702684
2021-06-16,2021-06-16,2459381.7682073805,2459381.7472560764,2459381.7270001583,2459382.0965891276,2459382.1175486585,2459382.137804349
2021-06-17,2021-06-17,2459382.7684132964,2459382.7474545105,2459382.7271922813,2459383.0966876186,2459383.1176539958,2459383.137916154
2021-06-18,2021-06-18,2459383.7686088984,2459383.747642304,2459383.727375289,2459384.0967995585,2459384.117770728,2459384.1380378455
2021-06-19,2021-06-19,2459384.768792109,2459384.747819152,2459384.7275488814,2459385.0969247124,2459385.1178986104,2459385.1381691685
2021-06-20,2021-06-20,2459385.7689620103,2459385.7479847763,2459385.7277127802,2459386.0970628406,2459386.1180373956,2459386.1383098704
2021-06-21,2021-06-21,2459386.7691183514,2459386.7481389246,2459386.7278667316,2459387.097213701,2459387.11818684,2459387.138459703
2021-06-22,2021-06-22,2459387.7692609145,2459387.7482813746,2459387.7280105078,2459388.097376154,2459388.1183467004,2459388.138618422
2021-06-23,2021-06-23,2459388.7693895116,2459388.748412922,2459388.728143907,2459389.0975491884,2459389.1185167367,2459389.13878579
2021-06-24,2021-06-24,2459389.7695039804,2459389.7485327134,2459389.728267416,2459390.0977340383,2459390.11869671,2459390.1389615713
2021-06-25,2021-06-25,2459390.7696041744,2459390.7486401354,2459390.728380472,2459391.0979304602,2459391.118886382,2459391.1391455326
2021-06-26,2021-06-26,2459391.7696899567,2459391.7487350353,2459391.728482535,2459392.0981382043,2459392.1190855093,2459392.139337438
2021-06-27,2021-06-27,2459392.7697611945,2459392.7488172622,2459392.7285734406,2459393.09835701,2459393.1192938406,2459393.1395370443
2021-06-28,2021-06-28,2459393.7698177565,2459393.7488866644,2459393.728653022,2459394.0985865993,2459394.119511109,2459394.139744094
2021-06-29,2021-06-29,2459394.7698595137,2459394.748943091,2459394.7287211115,2459395.098826674,2459395.1197370295,2459395.139958316
2021-06-30,2021-06-30,2459395.769886341,2459395.7489863914,2459395.728777539,2459396.0990769123,2459396.1199712986,2459396.140179421
2021-07-01,2021-07-01,2459396.7698981166,2459396.7490164167,2459396.728822135,2459397.0993369734,2459397.120213594,2459397.140407104
2021-07-02,2021-07-02,2459397.7698947266,2459397.749033023,2459397.7288547317,2459398.0996064967,2459398.1204635776,2459398.1406410467
2021-07-03,2021-07-03,2459398.7698760633,2459398.7490360714,2459398.728875165,2459399.099885104,2459399.1207208987,2459399.1408809205
2021-07-04,2021-07-04,2459399.7698420305,2459399.7490254296,2459399.728883276,2459400.100172404,2459400.120985193,2459400.141126386
2021-07-05,2021-07-05,2459400.76979254,2459400.749000974,2459400.7288789125,2459401.100467992,2459401.1212560884,2459401.141377097
2021-07-06,2021-07-06,2459401.7697275146,2459401.7489625895,2459401.7288619285,2459402.100771451,2459402.121533203,2459402.1416327003
2021-07-07,2021-07-07,2459402.7696468886,2459402.7489101696,2459402.7288321843,2459403.1010823543,2459403.1218161457,2459403.1418928374
2021-07-08,2021-07-08,2459403.769550605,2459403.748843616,2459403.7287895493,2459404.101400265,2459404.1221045204,2459404.1421571434
2021-07-09,2021-07-09,2459404.7694386183,2459404.748762839,2459404.728733899,2459405.101724739,2459405.1223979252,2459405.1424252517
2021-07-10,2021-07-10,2459405.769310892,2459405.7486677594,2459405.728665117,2459406.1020553266,2459406.122695953,2459406.142696792
2021-07-11,2021-07-11,2459406.7691674023,2459406.7485583057,2459406.728583096,2459407.102391571,2459407.1229981957,2459407.1429713946
2021-07-12,2021-07-12,2459407.7690081364,2459407.748434419,2459407.728487738,2459408.102733017,2459408.123304246,2459408.143248692
2021-07-13,2021-07-13,2459408.768833095,2459408.748296313,2459408.728378957,2459409.103079209,2459409.1236136993,2459409.143528321
2021-07-14,2021-07-14,2459409.768642296,2459409.74814495,2459409.728256682,2459410.1034296965,2459410.123926157,2459410.1438099258
2021-07-15,2021-07-15,2459410.768436041,2459410.7479791837,2459410.7281213677,2459411.1037840364,2459411.1242404426,2459411.144093162
2021-07-16,2021-07-16,2459411.768216714,2459411.747799019,2459411.7279730844,2459412.104140316,2459412.124554655,2459412.1443770737
2021-07-17,2021-07-17,2459412.767981964,2459412.7476044805,2459412.7278112904,2459413.1044964604,2459413.124870756,2459413.1446604473
2021-07-18,2021-07-18,2459413.767731893,2459413.74739562,2459413.7276359936,2459414.1048552087,2459414.1251884033,2459414.144944522
2021-07-19,2021-07-19,2459414.767466629,2459414.7471725144,2459414.7274472294,2459415.1052161804,2459415.1255072737,2459415.145229021
2021-07-20,2021-07-20,2459415.7671863283,2459415.74693527,2459415.7272450593,2459416.105579014,2459416.125827063,2459416.145513689
2021-07-21,2021-07-21,2459416.7668911726,2459416.7466840157,2459416.7270295713,2459417.105943367,2459417.1261474886,2459417.1457982906
2021-07-22,2021-07-22,2459417.766581366,2459417.7464189045,2459417.7268008734,2459418.106308918,2459418.1264682887,2459418.146082612
2021-07-23,2021-07-23,2459418.766257125,2459418.746140104,2459418.7265590904,2459419.106675366,2459419.12678922,2459419.1463664584
2021-07-24,2021-07-24,2459419.7659186795,2459419.745847792,2459419.7263043583,2459420.107042425,2459420.127110055,2459420.14664965
2021-07-25,2021-07-25,2459420.765566263,2459420.745542153,2459420.7260368196,2459421.1074098195,2459421.127430578,2459421.146932018
2021-07-26,2021-07-26,2459421.7652001097,2459421.7452233736,2459421.725756619,2459422.1077772826,2459422.1277505783,2459422.1472133975
2021-07-27,2021-07-27,2459422.7648204565,2459422.7448916417,2459422.7254639026,2459423.1081445455,2459423.1280698446,2459423.147493627
2021-07-28,2021-07-28,2459423.7644275404,2459423.744547145,2459423.7251588176,2459424.1085113394,2459424.128388166,2459424.1477725394
2021-07-29,2021-07-29,2459424.7640215983,2459424.7441900717,2459424.7248415104,2459425.108877391,2459425.128705328,2459425.1480499688
