Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
8160,EXAMPLE,900,8,T003629,23,59,10.4,39,18,51,2000,vmag=,14.6,900,900,6,C2,1,in,p1,GB,N090,,N,done,
7140,EXAMPLE,900,7,T004201,6,1,53.9,-13,27,41,2000,vmag=,15.2,900,900,6,C2,1,in,p3,GB,N090,,N,done,
570,,450,1,Gaia_2426,0,36,11.7,-9,32,38,2000,vmag=,13,450,450,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_2469,1,9,27.9,-10,34,47,2000,vmag=,15.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
570,,450,1,Gaia_4650,2,30,7.5,59,50,47,2000,vmag=,13.1,450,450,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_4140,3,36,30.3,14,19,5,2000,vmag=,14.9,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_2200,3,51,55.2,36,13,32,2000,vmag=,13.9,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
2880,,600,4,Gaia_2076,5,21,56.6,43,59,22,2000,vmag=,12.2,600,600,250,C2,1,out,p1,KB,C307,,Y,,10
720,,600,1,Gaia_1028,8,24,36.9,52,54,27,2000,vmag=,13.6,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_8097,10,7,8.8,44,53,48,2000,vmag=,14.9,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_7471,10,7,21.5,34,8,24,2000,vmag=,14,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1058,10,48,59.4,65,47,56,2000,vmag=,14.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
420,,300,1,Gaia_8438,11,11,14.2,55,15,51,2000,vmag=,10.6,300,300,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1683,12,5,24.7,69,14,28,2000,vmag=,14.3,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1581,12,20,12.8,58,41,16,2000,vmag=,14.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1579,13,10,49.9,60,16,58,2000,vmag=,14.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
420,,300,1,Gaia_1522,13,14,4.1,38,18,4,2000,vmag=,11.1,300,300,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1694,14,49,18.2,69,19,2,2000,vmag=,13.2,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1695,15,5,54.8,71,8,4,2000,vmag=,13.1,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1386,16,16,25.9,46,57,0,2000,vmag=,15.4,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1350,17,39,56,45,2,17,2000,vmag=,13.5,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_4578,18,12,15,24,9,14,2000,vmag=,15,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1871,21,2,28.7,37,3,49,2000,vmag=,13.7,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_2278,21,12,21,77,22,37,2000,vmag=,14.6,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
570,,450,1,Gaia_1801,21,45,24.7,28,37,26,2000,vmag=,12.2,450,450,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1925,23,46,25.6,43,55,5,2000,vmag=,13,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
3807,,303,9,15337,2,27,28.3,-27,38,12,2000,vmag=,9.1,303,500,250,B5,1,in,p1,JWZ,H391,"companion at 1.5 arcsec, observe brighter component. ",,,1
3060,,900,3,GJ3193,3,1,50.8,-16,35,42,2000,vmag=,10.5,900,900,120,B5,1,in,p1,JWZ,H391,"Triple system, observe SE component. ",,,1
1024,,136,4,T001684,4,21,23.1,62,14,41,2000,vmag=,8.2,136,500,250,B5,1,in,p2,JWZ,H391,,,,1
2790,,345,6,HIP26250,5,35,27.8,21,17,39,2000,vmag=,9.2,345,500,250,B5,1,in,p1,JWZ,H391,,,,1
6210,,915,6,HIP24007,5,9,34.8,24,19,27,2000,vmag=,10.3,915,1200,250,B5,1,in,p1,JWZ,H391,"companion at 1 arcsec, observe the East component, rotate the slit to avoid comapnion",,,1
3360,,1000,3, HIP34730,7,11,27.7,48,19,36,2000,vmag=,12.2,1000,1200,50,C2,1,in,p1,JWZ,H391,,,,1
1280,,40,8,73344,8,38,45.5,23,41,7,2000,vmag=,6.9,40,500,250,B5,1,in,p1,JWZ,H391,,,,1
1296,,204,4,TIC286132427,9,46,53.9,-4,17,53,2000,vmag=,8.7,204,500,250,B5,1,in,p2,JWZ,H391,", companion at 1.75'', observe brighter component",,,1
2076,,399,4,HIP57386,11,45,55.5,11,22,15,2000,vmag=,9.4,399,500,250,B5,1,in,p2,JWZ,H391,"companion at 0.7'', observe brighter component (SW)",,,1
2816,,232,8,96735,11,8,55.9,34,18,11,2000,vmag=,8.8,232,500,250,B5,1,in,p1,JWZ,H391,,,,1
