Date,TelNr,Instrument,Account,PI,Institution,ProjCode,start,stop
2023-08-03,1,HIRESr,hires1,Erik Petigura,UCLA,U011,0.5,1
2023-08-13,1,HIRESr,hires4,Kareem El-Badry,CIT,C307,0,1
2023-08-14,1,HIRESr,hires1,Jingwen Zhang,UH,H391,0,1
2023-08-15,1,HIRESr,hires1,Erik Petigura,UCLA,U011,0.5,1
2023-08-22,1,HIRESr,hires1,Nicholas Saunders,UH,H389,0,1
2023-09-01,1,HIRESr,hires1,Erik Petigura,UCLA,U011,0,0.5
2023-09-04,1,HIRESr,hires1,Casey Brinkman,UH,H376,0.25,0.5
2023-09-14,1,HIRESr,hires1,Yaguang Li,UH,H378,0,0.5
2023-09-15,1,HIRESr,hires1,Yaguang Li,UH,H378,0,0.5
2023-09-25,1,HIRESr,hires1,Erik Petigura,UCLA,U011,0,0.5
2023-10-15,1,HIRESr,hires1,Fei Dai,NASA,N461,0.5,1
2023-11-22,1,HIRESr,hires1,Luke Bouma,CIT,C348,0,1
2023-11-25,1,HIRESr,hires1,Nicholas Saunders,UH,H389,0,1
2023-11-26,1,HIRESr,hires1,Jingwen Zhang,UH,H391,0,1
2023-12-02,1,HIRESr,hires1,Luke Bouma,CIT,C348,0,1
2023-12-04,1,HIRESr,hires1,Erik Petigura,UCLA,U011,0.5,1
2023-12-14,1,HIRESr,hires1,Lynne Hillenbrand,CIT,C404,0.5,1
2023-12-31,1,HIRESr,hires1,Erik Petigura,UCLA,U011,0.5,1
