,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2022-06-01,2022-06-01,2459731.763815722,2459731.7431989424,2459731.723217147,2459732.0969064436,2459732.1175248483,2459732.1375087267
2022-06-02,2022-06-02,2459732.7641657977,2459732.743515335,2459732.7235061284,2459733.0967801684,2459733.117433191,2459733.1374435457
2022-06-03,2022-06-03,2459733.7645091168,2459733.7438264554,2459733.723791024,2459734.096669055,2459734.1173544964,2459734.137390936
2022-06-04,2022-06-04,2459734.7648452306,2459734.7441319004,2459734.724071469,2459735.0965730795,2459735.117289467,2459735.137350789
2022-06-05,2022-06-05,2459735.7651736983,2459735.744431272,2459735.7243471006,2459736.0964922067,2459736.117238021,2459736.1373229893
2022-06-06,2022-06-06,2459736.765494088,2459736.7447241787,2459736.7246175604,2459737.096426391,2459737.117200072,2459737.1373074134
2022-06-07,2022-06-07,2459737.765805979,2459737.745010237,2459737.7248824965,2459738.0963755813,2459738.1171755255,2459738.137303935
2022-06-08,2022-06-08,2459738.766108965,2459738.7452890766,2459738.7251415686,2459739.096339724,2459739.117164289,2459739.137312429
2022-06-09,2022-06-09,2459739.766402653,2459739.7455603383,2459739.725394446,2459740.0963187865,2459740.117166289,2459740.1373327915
2022-06-10,2022-06-10,2459740.766686581,2459740.7458236045,2459740.725640749,2459741.0963126887,2459741.117181383,2459741.137364825
2022-06-11,2022-06-11,2459741.7669599103,2459741.7460780414,2459741.725879654,2459742.0963204773,2459742.117208658,2459742.1374076596
2022-06-12,2022-06-12,2459742.76722361,2459742.746324576,2459742.726112041,2459743.096343313,2459743.1172492295,2459743.137462368
2022-06-13,2022-06-13,2459743.767476655,2459743.746562303,2459743.7263371153,2459744.0963807516,2459744.1173025793,2459744.137528372
2022-06-14,2022-06-14,2459744.767718687,2459744.746790849,2459744.7265544888,2459745.096432559,2459745.117368467,2459745.1376052503
2022-06-15,2022-06-15,2459745.7679494824,2459745.74701,2459745.7267639562,2459746.0964986193,2459746.117446758,2459746.1376924734
2022-06-16,2022-06-16,2459746.768168798,2459746.7472195234,2459746.726965296,2459747.0965788187,2459747.117536362,2459747.137790356
2022-06-17,2022-06-17,2459747.7683763816,2459747.747419177,2459747.7271582745,2459748.0966730285,2459748.117637916,2459748.1378987357
2022-06-18,2022-06-18,2459748.7685736725,2459748.747608709,2459748.7273426484,2459749.0967811006,2459749.1177512878,2459749.1380174356
2022-06-19,2022-06-19,2459749.7687596935,2459749.7477878593,2459749.727518163,2459750.096902859,2459750.1178762875,2459750.1381462542
2022-06-20,2022-06-20,2459750.768932994,2459750.747956361,2459750.7276845556,2459751.097038098,2459751.118012699,2459751.1382849663
2022-06-21,2022-06-21,2459751.7690932993,2459751.7481139437,2459751.7278415556,2459752.097186582,2459752.118160279,2459752.138433323
2022-06-22,2022-06-22,2459752.7692403365,2459752.748260335,2459752.7279888894,2459753.097347573,2459753.1183187612,2459753.138591052
2022-06-23,2022-06-23,2459753.7693738374,2459753.74839607,2459753.7281262814,2459754.0975191924,2459754.1184878577,2459754.138757864
2022-06-24,2022-06-24,2459754.7694935407,2459754.748520622,2459754.7282540146,2459755.0977030043,2459755.1186672607,2459755.1389334532
2022-06-25,2022-06-25,2459755.7695991937,2459755.748633041,2459755.7283716905,2459756.0978986826,2459756.118856649,2459756.1391175003
2022-06-26,2022-06-26,2459756.769690553,2459756.748733069,2459756.7284785146,2459757.098105886,2459757.119055684,2459757.139309674
2022-06-27,2022-06-27,2459757.769767388,2459757.7488204553,2459757.7285742234,2459758.098324257,2459758.1192640187,2459758.139509634
2022-06-28,2022-06-28,2459758.7698294776,2459758.748894961,2459758.7286585616,2459759.0985534256,2459759.119481293,2459759.1397170327
2022-06-29,2022-06-29,2459759.7698766175,2459759.748956356,2459759.728731282,2459760.0987930093,2459760.1197071397,2459760.139931515
2022-06-30,2022-06-30,2459760.769908616,2459760.7490044236,2459760.7287921477,2459761.0990426173,2459761.1199411848,2459761.1401527217
2022-07-01,2022-07-01,2459761.7699252963,2459761.749038959,2459761.7288409327,2459762.0993018495,2459762.1201830492,2459762.140380292
2022-07-02,2022-07-02,2459762.7699265,2459762.749059774,2459762.7288774247,2459763.099570301,2459763.1204323503,2459763.1406138632
2022-07-03,2022-07-03,2459763.769912086,2459763.7490666937,2459763.7289014244,2459764.0998475603,2459764.1206887034,2459764.1408530734
