Time(sec)_full_semester,Slew+readout(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,jmag=,Jmag,T_exp(sec),T_max(sec),Nobs per,Format1,Nvisits,Format2,Simulcal,gmag=,Gmag,Teff,Teff_val,Gaia_DR3,Gaia_DR3_id,Program code,Format3,priority,Telescope,Comment,Include,Done,Cadence,IntraNightCadence,RM or,,SUM for Each program
Exposure time + overhead,240,,requested ,,,,,,,,,,,nominal,maximum,Visit,,per night,,,,,,,,,(for script),,,Propsoal Code,,Y/N,y/n,min separation,min separation,other Non-Queue,,
Formula,leave blank,Formula,,,,,,,,,,static,,,,,static,,static,,static,,static,,static,,,static,,,,,,in days (integer),in hours (integers),y/n,,
do not change,do not change,do not change,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
3744,,48,13,185144,19,32,22.0,69,39,40,2000,jmag=,3.40,16,16,3,x,1of2,simulcal=,y,gmag=,4.5,Teff=,5300,Gaia DR3,2261614264931057664,AH,p,1,C011,SigDra - everynight [EXAMPLE LINE],N,Y,1,nan,n,,25920
9867,,519,13,149026,16,30,30.0,38,20,50,2000,jmag=,7.10,519,519,1,x,1of3,simulcal=,n,gmag=,8.0,Teff=,6100,Gaia DR3,1331356474971716992,AH,p,1,C015,Known planet (2.9 day orbit) [EXAMPLE LINE],N,Y,5,nan,n,,60480
25920,,1200,18,Ori40003,05,35,15.55,-05,25,14,2000,jmag=,10.00,1200,1800,1,x,1,simulcal=,n,gmag=,13.1,Teff=,3800,Gaia DR3,3017360966647238272,LH,p,1,C404,"pre-ms stellar quadruple system; goal is every night during september with either kpf or hires, EveryNight",y,n,1,nan,n,,4972800
60480,,720,63,T001749,18,50,57.07,64,25,09,2000,jmag=,11.10,720,720,1,x,3,simulcal=,y,gmag=,13.2,Teff=,3923,Gaia DR3,2253774094189458432,HK,p,1,C351,"M dwarf with three small planets, TTVs measured with Palomar (PI Mike Greklek-McKeon), everynight",y,n,1,1,n,,29520
4972800,,8640,560,219134,23,13,20.9,57,10,11,2000,jmag=,3.90,120,120,72,x,4,simulcal=,y,gmag=,5.2,Teff=,4700,Gaia DR3,2009481748875806976,HK,p,1,C382,Measurement of sodium absorption during transit of hot super-Earth HD 219134b; needs continuous observation during transit (1h) + ~2.5h of out-of-transit baseline,y,n,0,nan,y,,36000
29520,,1400,18,K00319,18,49,34,43,53,22,2000,jmag=,11.50,1400,1400,1,x,1,simulcal=,y,gmag=,12.7,Teff=,5460,Gaia DR3,2105362903731391744,JZ,p,1,C316,"Kepler Field star, which is only obserable in the early months of the semester.",y,n,2,nan,n,,36000
28800,,1200,20,K00117,19,48,06.8,48,12,31,2000,jmag=,11.39,1200.0,1200.0,1,x,1,simulcal=,y,gmag=,12.5,Teff=,5861,Gaia DR3,2086625752425381632,LW,p,1,D317,Kepler107,,,1,nan,n,,71000
