Date,TelNr,Instrument,Account,PI,Institution,ProjCode,start,stop,Queue
2023-08-01,1,KPF,kpf1,Jon Zink,CIT,C316,0.5,1,y
2023-08-02,1,KPF,kpf1,Andrew Howard,CIT,C398,0.5,1,y
2023-08-04,1,KPF,kpf1,Nicholas Saunders,UH,H390,0,1,y
2023-08-05,1,KPF,kpf1,Fei Dai,NASA,N461,0.5,1,y
2023-08-06,1,KPF,kpf1,Andrew Howard,CIT,C398,0.5,1,y
2023-08-08,1,KPF,kpf1,Stephen Kane,UCB,U151,0.5,0.75,y
2023-08-09,1,KPF,kpf1,Stephen Kane,UCB,U151,0,0.5,y
2023-08-09,1,KPF,kpf1,Heather Knutson,CIT,C382,0.5,1,y
2023-08-10,1,KPF,kpf1,Andrew Howard,CIT,C400,0,1,y
2023-08-12,1,KPF,kpf1,Erik Petigura,UCLA,U012,0.5,1,y
2023-08-16,1,KPF,kpf1,Stephen Kane,UCB,U151,0,0.5,y
2023-08-17,1,KPF,kpf1,Fei Dai,NASA,N461,0,0.5,y
2023-08-19,1,KPF,kpf1,Heather Knutson,CIT,C351,0,1,y
2023-08-23,1,KPF,kpf1,Andrew Howard,CIT,C398,0,0.5,y
2023-08-23,1,KPF,kpf1,Stephen Kane,UCB,U151,0.5,1,y
2023-08-24,1,KPF,kpf1,Fei Dai,NASA,N461,0,0.5,y
2023-08-25,1,KPF,kpf1,Paul Robertson,UCI,U147,0,1,y
2023-08-26,1,KPF,kpf1,Heather Knutson,CIT,C351,0,1,y
2023-08-27,1,KPF,kpf1, Engineering,KECK,E489,0,0.5,y
2023-08-28,1,KPF,kpf1,Stephen Kane,UCB,U151,0,0.5,y
2023-08-28,1,KPF,kpf1,Erik Petigura,UCLA,U012,0.5,1,y
2023-08-29,1,KPF,kpf1,Stephen Kane,UCB,U151,0.5,1,y
2023-08-30,1,KPF,kpf1,Casey Brinkman,UH,H376,0.25,1,y
2023-08-30,1,KPF,kpf1,Fei Dai,NASA,N461,0,0.25,y
2023-08-31,1,KPF,kpf1,Casey Brinkman,UH,H376,0,1,y
2023-09-01,1,KPF,kpf1,Stephen Kane,UCB,U151,0.5,1,y
2023-09-02,1,KPF,kpf1,Lauren Weiss,Notre Dame,D317,0.5,1,y
2023-09-03,1,KPF,kpf1,Joel Ong,UH,H357,0.5,1,y
2023-09-04,1,KPF,kpf1,Stephen Kane,UCB,U151,0,0.25,y
2023-09-04,1,KPF,kpf1,Fei Dai,NASA,N461,0.5,1,y
2023-09-05,1,KPF,kpf1,Paul Robertson,UCI,U147,0,1,y
2023-09-06,1,KPF,kpf1,Heather Knutson,CIT,C382,0,0.5,n
2023-09-07,1,KPF,kpf1,Andrew Howard,CIT,C398,0,0.5,y
2023-09-08,1,KPF,kpf1,Stephen Kane,UCB,U151,0,0.5,y
2023-09-09,1,KPF,kpf1,Stephen Kane,UCB,U151,0,0.25,y
