,Starname,Number_Observations,Minimum_Cadence(days),Exposure_Time(minutes)
0,WASP156,5,25,12.0
1,T001173,5,25,7.2
2,T001174,5,25,6.7
3,T001180,5,25,7.1
4,T001244,5,25,9.9
5,T001246,5,25,12.4
6,135694,4,25,1.2
7,T001248,5,25,15.2
8,T001249,5,25,7.6
9,HIP97166,5,25,2.4
10,T001269,5,25,12.2
11,T001272,1,25,15.6
12,T001288,3,25,4.2
13,191939,2,25,1.1
14,154840,5,25,1.3
15,T001438,5,25,6.7
16,T001443,5,25,5.1
17,T001444,5,25,6.6
18,12572,1,25,1.3
19,T001472,5,25,9.2
20,207897,5,25,0.6
21,T001669,5,25,3.4
22,T001691,5,25,3.1
23,T001694,5,25,10.6
24,T001710,5,25,1.8
25,237566,5,25,1.6
26,T001723,5,25,2.0
27,156141,5,25,1.0
28,146757,5,25,1.5
29,T001753,5,25,15.0
30,T001758,5,25,5.7
31,T001759,5,25,16.4
32,T001775,5,25,12.7
33,T001794,5,25,3.7
34,93963,5,25,1.3
35,TIC142381532,5,25,5.4
36,T001824,5,25,2.1
37,T002088,5,25,12.6
38,TYC3895-361-1,18,5,2.4
39,TYC3898-689-1,18,5,1.5
40,TYC4244-566-1,18,5,0.5
41,TYC4478-593-1,18,5,0.6
42,TYC4198-449-1,18,5,0.7
43,TYC3664-1292-1,18,5,0.7
44,TYC3569-608-1,20,5,0.1
45,TYC3870-1441-1,20,5,0.1
46,TIC5364106,1,1,1.7
47,T005564,1,1,2.4
48,T005731,1,1,2.2
49,TIC399105267,1,1,1.0
50,EPIC220573228,1,1,0.9
51,TIC376847633,10,5,15.0
52,206617,5,20,2.3
53,K01458,1,1,30.0
54,K06188,1,1,27.2
55,K03324,1,1,30.0
56,34382,3,1,1.6
57,TIC185461568,1,1,11.2
58,TIC185667262,1,1,22.0
59,TIC185848343,1,1,7.0
60,TIC185847064,1,1,25.8
61,TIC186129360,1,1,30.0
62,TIC378170387,1,1,30.0
63,TIC378173315,1,1,5.0
64,TIC186140431,1,1,8.7
65,TIC186237466,1,1,6.7
66,TIC186255176,1,1,6.8
67,TIC295799540,1,1,6.7
68,TIC186238215,1,1,5.7
69,TIC186253914,1,1,30.0
70,TIC186238820,1,1,12.8
71,TIC416970247,1,1,10.8
72,TIC416972085,1,1,15.5
73,TIC406076288,1,1,4.7
74,TIC256066070,1,1,4.5
75,TIC406087385,1,1,30.0
76,TIC256184740,1,1,5.7
77,TIC256346500,1,1,5.7
78,TIC351939704,1,1,4.5
79,TIC352162814,1,1,15.8
80,TIC193335018,1,1,10.8
81,TIC193539544,1,1,23.2
82,TIC278355321,1,1,30.0
83,TIC265250815,1,1,8.7
84,TIC68833286,1,1,7.2
85,TIC425914815,1,1,8.5
86,TIC120098840,1,1,4.7
87,TIC237163474,1,1,7.2
88,TIC20995907,1,1,30.0
89,TIC120688481,1,1,5.3
90,TIC120972481,1,1,30.0
91,TIC350992827,1,1,13.3
92,TIC120498272,1,1,4.7
93,TIC237163448,1,1,5.8
94,TIC41867756,1,1,8.7
95,TIC425705688,1,1,8.0
96,TIC120182387,1,1,30.0
97,TIC120044726,1,1,30.0
98,TIC28772706,1,1,15.5
99,TIC237183630,1,1,12.0
100,TIC390134160,1,1,22.8
101,TIC390058041,1,1,5.2
102,TIC42198961,1,1,10.2
103,TIC237184441,1,1,7.3
104,15337,2,1,5.0
105,GJ3193,2,1,15.0
106,20152,2,1,2.8
107,T001684,1,1,2.3
108,HIP22084,2,1,2.0
109,HIP26250,2,1,5.8
110,HIP24007,3,1,15.2
111, HIP34730,2,1,16.7
112,73344,2,1,0.7
113,76854,2,1,2.4
114,TIC286132427,2,1,3.4
115,HIP57386,2,1,6.6
116,96735,2,1,3.9
117,HIP58234,2,1,7.5
118,HIP64573,2,1,4.1
119,118203,2,1,1.9
120,HIP69275,2,1,1.7
121,HIP81087,2,1,11.2
122,HIP83168,2,1,0.4
123,HIP93711,2,1,9.2
124,HIP96618,2,1,0.5
125,HIP102295A,3,1,2.2
126,HIP112486,2,1,12.2
127,HIP111842,2,1,2.0
128,HIP114003,2,1,5.4
129,HIP115594,2,1,6.8
130,TIC425205292,3,1,2.5
131,TIC116380226,3,1,2.2
132,TIC458479571,3,1,1.0
133,TIC288648077,3,1,2.5
134,T005461,6,1,8.0
135,T002346,4,1,7.3
136,T005432,6,1,6.0
137,T004199,6,1,5.3
138,EPIC211736671,2,7,24.8
139,EPIC211525389,2,7,19.6
140,EPIC211319617,2,7,25.0
141,EPIC211391664,2,7,21.9
142,EPIC211355342,2,7,30.1
143,EPIC211990866,2,7,10.4
144,EPIC248777106,2,7,1.3
145,EPIC201577035,2,7,21.5
146,EPIC201357835,2,7,28.2
147,EPIC228801451,1,7,15.0
148,EPIC212357477,2,7,16.4
149,EPIC212394689,2,7,21.4
150,EPIC212521166,1,7,23.8
151,EPIC203826436,2,7,34.0
152,EPIC204129699,2,7,5.1
153,EPIC213546283,2,7,21.5
154,EPIC216494238,2,7,28.9
155,EPIC206153219,2,7,11.0
156,EPIC206247743,2,7,8.7
157,EPIC206044803,2,7,35.2
158,EPIC245943455,2,7,32.6
159,EPIC245991048,2,7,30.7
160,EPIC220481411,2,7,29.6
161,EPIC220621788,2,7,21.2
162,EPIC220376054,2,7,19.3
163,TIC204650483,12,7,5.8
164,TIC405788729,4,7,8.4
165,TIC307958020,30,7,4.6
166,TIC4922378,3,1,5.9
167,EPIC206153219,12,1,13.3
168,EPIC210848071,6,1,6.4
169,119130,25,1,5.3
170,GJ9522A,30,1,4.4
171,K00260,25,1,4.4
172,K00275,20,1,13.3
173,K00365,25,1,9.2
174,EPIC211359660,14,1,12.3
175,K00370,15,1,10.2
176,K00975,30,1,2.2
177,238894,5,15,3.4
178,TIC328502522,6,15,7.0
179,TIC121636363,6,5,4.8
180,T004734,2,2,7.3
181,T006079,1,1,0.6
182,TIC139270665,1,1,16.4
183,T002300,6,15,20.0
184,TIC441705792,6,15,14.6
185,K01397,1,1,30.0
186,K02031,1,1,20.0
187,K02036,1,1,30.0
188,K02124,1,1,20.0
189,K03456,1,1,8.0
190,K04252,1,1,20.0
191,K05971,1,1,15.0
192,TIC82204651,6,5,14.6
193,T003430,6,1,8.0
194,T003856,3,1,6.7
195,T005227,6,1,9.0
196,T003875,6,1,8.0
197,T005687,6,1,9.0
198,T005686,6,1,9.0
199,T005830,6,1,9.0
200,T005283,6,1,5.5
201,T005829,6,1,5.5
202,TIC393818343,1,1,7.2
203,KIC5951458,1,1,16.3
204,CK00139,1,1,28.2
