,Date,Quarter,Duration(min)
0,2023-02-07,1,165
1,2023-02-09,1,164
2,2023-02-09,2,163
3,2023-02-09,3,163
4,2023-02-09,4,164
5,2023-02-26,1,159
6,2023-02-26,2,159
7,2023-02-27,1,158
8,2023-02-27,2,159
9,2023-02-28,1,158
10,2023-02-28,2,158
11,2023-02-28,3,159
12,2023-02-28,4,159
13,2023-03-03,1,157
14,2023-03-03,2,157
15,2023-03-03,3,158
16,2023-03-03,4,158
17,2023-03-04,3,158
18,2023-03-05,3,157
19,2023-03-06,1,157
20,2023-03-06,2,157
21,2023-03-06,3,157
22,2023-03-07,3,157
23,2023-03-12,3,156
24,2023-04-02,1,149
25,2023-04-04,4,148
26,2023-04-05,4,148
27,2023-04-07,4,147
28,2023-04-09,4,147
29,2023-04-10,4,147
30,2023-04-11,4,146
31,2023-04-12,4,146
32,2023-04-27,1,143
33,2023-05-01,1,141
34,2023-05-01,2,142
35,2023-05-01,4,141
36,2023-05-02,4,141
37,2023-05-05,1,139
38,2023-05-05,2,139
39,2023-05-05,4,139
40,2023-05-07,4,139
41,2023-05-16,4,136
42,2023-05-24,1,135
43,2023-05-24,2,135
44,2023-05-29,1,134
45,2023-05-29,2,135
46,2023-05-29,4,135
47,2023-05-30,4,135
48,2023-05-31,4,134
49,2023-06-01,4,134
50,2023-06-04,4,134
51,2023-06-06,1,134
52,2023-06-08,1,133
53,2023-06-08,2,133
54,2023-06-08,3,133
55,2023-06-08,4,134
56,2023-06-10,3,133
57,2023-06-10,4,133
58,2023-06-11,3,133
59,2023-06-11,4,133
60,2023-06-23,1,132
61,2023-06-23,2,133
62,2023-06-24,1,132
63,2023-06-24,2,133
64,2023-06-24,3,132
65,2023-06-24,4,133
66,2023-06-25,3,132
67,2023-06-25,4,133
68,2023-07-06,1,133
69,2023-07-06,2,133
70,2023-07-06,3,133
71,2023-07-06,4,134
72,2023-07-09,3,134
73,2023-07-09,4,134
74,2023-07-12,3,133
75,2023-07-12,4,134
76,2023-07-13,3,134
77,2023-07-13,4,135
78,2023-07-16,1,135
79,2023-07-16,2,134
80,2023-07-21,3,135
81,2023-07-21,4,135
82,2023-07-28,3,137
83,2023-07-28,4,137
